"","timepoints","n.samples","clim.signal.ann","clim.timepoints.ssr","proxy.bt","proxy.bt.sb","proxy.bt.sb.sampY","proxy.bt.sb.sampYM","proxy.bt.sb.inf.b","proxy.bt.sb.inf.b.n","proxy.bt.sb.sampYM.b","proxy.bt.sb.sampYM.b.n","simulated.proxy","simulated.proxy.cal.err","reconstructed.climate"
"93",11112,1e+05,27.7828384399414,27.4112411753337,4.53480102819478,4.42237707780454,4.42242177711868,4.42293688085358,NA,NA,NA,4.42293688085358,4.42293688085358,4.42293688085358,27.270977270913
"94",11126,1e+05,27.4742396036784,27.4029645792643,4.53356801660152,4.42108904470754,4.42140044792767,4.42005642442853,NA,NA,NA,4.42005642442853,4.42005642442853,4.42005642442853,27.2637387553072
"95",11140,1e+05,27.4627141316732,27.3947935740153,4.53233777835277,4.41983409040555,4.42022864278999,4.42341716329213,NA,NA,NA,4.42341716329213,4.42341716329213,4.42341716329213,27.2721837502192
"96",11242,1e+05,27.2944656372071,27.374893544515,4.52563868840326,4.41330886281809,4.41343383675118,4.41274354283306,NA,NA,NA,4.41274354283306,4.41274354283306,4.41274354283306,27.2453404537909
"97",11286,1e+05,27.6436223347982,27.3524387613933,4.52306650245951,4.41088650004791,4.41079588748782,4.41306010736359,NA,NA,NA,4.41306010736359,4.41306010736359,4.41306010736359,27.2461375219818
"98",11375,1e+05,27.0827346801758,27.3378500111898,4.51268568568738,4.40062908487329,4.40095399247843,4.40185133796459,NA,NA,NA,4.40185133796459,4.40185133796459,4.40185133796459,27.2178804146683
"99",11419,1e+05,27.5747517903646,27.2965099080404,4.5085004479878,4.39660481398557,4.3963090326561,4.39634376946077,NA,NA,NA,4.39634376946077,4.39634376946077,4.39634376946077,27.2039695584429
"100",11463,1e+05,27.1981012980143,27.3392384084066,4.50249224984544,4.39082063675441,4.39067109009565,4.39045997217513,NA,NA,NA,4.39045997217513,4.39045997217513,4.39045997217513,27.1890891680098
"101",11508,1e+05,27.4007965087891,27.3491375732422,4.49736556514518,4.38602118239856,4.38604877925198,4.38939361197603,NA,NA,NA,4.38939361197603,4.38939361197603,4.38939361197603,27.1863901601957
"102",11552,1e+05,27.3219950358073,27.3352750905355,4.49267586466995,4.38155103381808,4.38156171402506,4.37964143700168,NA,NA,NA,4.37964143700168,4.37964143700168,4.37964143700168,27.1616764844533
